SID,2008-08-23,2008-08-25,2008-09-01,2008-09-08,2008-09-15,2008-09-22,2008-09-29,2008-10-06,2008-10-13,2008-10-20,2008-10-27,2008-11-03,2008-11-10,2008-11-17,2008-11-24,2008-12-01,2008-12-08,2008-12-15
02582851,1,3,4,5,5,5,5,6,6,6,6,6,7,7,7,7,7,7
02583857,2,4,4,6,7,8,9,10,11,12,13,14,15,15,15,16,17,17
02583882,0,2,2,3,3,4,4,4,4,4,4,5,5,6,6,6,6,6
02584200,0,2,3,5,6,7,7,8,9,10,10,11,13,13,13,14,15,15
02585530,1,2,3,3,4,4,5,6,6,8,9,10,11,12,12,13,14,14
02586137,0,2,3,4,4,5,5,6,6,6,7,7,7,8,8,8,8,8
02587660,2,2,3,3,4,4,4,5,5,5,6,6,6,6,6,7,7,8
02588209,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5
02588730,2,4,4,5,6,7,8,8,9,9,9,10,11,11,11,12,13,13
02589360,2,2,2,2,3,4,4,5,6,7,7,7,7,8,8,8,9,9
02590753,2,2,3,5,5,7,8,8,8,9,10,10,11,11,11,11,11,11
02591071,2,3,4,5,6,6,7,8,8,9,9,9,9,10,10,11,11,11
02593329,2,3,5,6,7,7,8,9,10,10,10,11,11,12,12,13,13,14
02595336,2,4,5,6,6,6,6,6,7,8,8,9,9,9,9,10,11,11
02596352,2,3,4,5,6,7,8,10,10,11,12,13,14,14,14,15,16,16
02597656,0,1,2,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4
02597739,0,3,3,3,4,5,5,5,5,6,6,7,7,7,7,7,7,7
02601155,2,4,5,5,6,7,9,9,10,12,12,14,16,16,16,17,17,17
02601529,0,1,2,3,3,4,4,4,4,4,4,4,5,5,5,5,6,6
02602228,2,3,4,5,5,5,5,5,5,5,6,6,6,6,6,7,7,7
02602316,2,4,5,6,6,7,7,8,8,9,10,10,12,12,12,12,13,13
02602700,2,4,5,7,7,8,8,8,9,9,10,11,12,12,12,12,13,13
02603678,2,4,5,5,5,6,6,6,7,7,7,8,8,8,8,8,8,8
02603885,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
02604491,2,4,5,7,8,9,10,11,12,13,14,15,16,16,16,17,19,19
02605214,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
02605777,2,4,5,5,6,7,7,9,9,10,10,11,11,12,12,12,12,13
02607469,2,3,4,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7
02609392,2,2,2,3,4,4,4,4,4,4,5,5,5,5,5,7,7,7
02609421,2,3,4,5,7,8,9,9,10,11,11,12,12,13,13,14,14,14
02609829,2,4,6,8,8,9,9,9,11,11,12,12,12,13,13,13,13,13
02609953,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
02612800,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
02614028,2,3,5,5,6,7,7,8,9,10,11,11,11,11,11,12,13,14
02614136,2,3,4,5,5,5,5,6,6,7,8,8,9,9,9,9,10,10
02615080,0,2,3,3,3,4,5,5,6,7,7,8,8,9,9,10,10,10
02615629,0,4,4,4,4,4,5,5,5,6,6,6,6,6,6,6,6,6
02615831,0,1,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4
02616327,2,4,6,7,9,10,11,12,13,15,15,16,16,17,17,18,19,19
02619557,0,2,3,3,4,4,5,5,6,6,7,8,8,9,9,9,9,9
02620114,2,4,6,7,7,7,8,9,9,10,11,12,12,12,12,13,13,13
02620227,0,1,2,2,2,3,5,5,5,5,5,5,5,5,5,5,6,6
02623502,0,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
02624391,0,1,3,3,3,4,4,4,5,5,5,5,5,5,5,5,6,6
02625174,1,4,4,5,5,5,6,6,6,7,8,8,8,8,8,9,9,9
02625478,2,2,3,4,4,6,6,6,7,7,7,7,7,8,8,8,8,8
02627435,2,3,4,5,7,8,9,10,11,12,13,14,14,15,15,15,16,16
02630176,1,3,3,4,4,4,4,5,5,5,5,5,6,7,7,7,8,8
02630774,2,4,5,6,6,7,7,7,8,9,9,9,10,10,10,11,11,11
02635184,2,3,4,5,5,6,6,7,8,9,9,10,10,11,11,11,12,12
02635666,1,1,1,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5
02638443,2,4,6,8,9,11,11,12,13,14,14,16,17,17,17,17,19,19
02639004,2,3,4,4,5,6,6,7,8,8,9,9,10,11,11,12,13,14
02639476,2,4,6,8,10,11,12,14,15,16,18,19,20,22,22,24,25,25
02641216,0,0,1,2,2,2,2,2,3,3,3,4,4,4,4,4,5,5
02643646,0,2,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6
02645616,2,3,3,4,4,5,5,5,6,6,6,7,8,9,9,11,12,12
02647508,2,5,7,9,10,11,13,14,14,15,16,16,17,18,18,18,18,18
02649968,1,2,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5
02650856,0,1,2,3,3,3,4,4,4,5,5,5,6,6,6,6,6,7
02652721,2,4,5,6,7,8,9,10,11,12,12,13,14,15,15,15,16,16
02654765,1,3,3,4,5,5,7,8,8,9,10,10,11,12,12,13,13,13
02656022,1,4,5,6,8,10,10,11,11,12,12,13,13,13,13,13,13,14
02660439,1,3,4,4,5,5,6,6,6,6,7,8,8,9,9,10,10,10
02660654,2,2,3,5,5,6,7,7,7,7,8,8,8,10,10,10,10,10
